COD_INE;ID_REL;COD_PROV;PROVINCIA;NOMBRE_ACTUAL;POBLACION_MUNI;SUPERFICIE;PERIMETRO;COD_INE_CAPITAL;CAPITAL;POBLACION_CAPITAL;HOJA_MTN25_ETRS89;LONGITUD_ETRS89;LATITUD_ETRS89;ORIGENCOOR;ALTITUD;ORIGENALTITUD
03009000000;1030092;03;Alacant/Alicante;Alcoi/Alcoy;58960;12986,0503;58858;03009000101;Alcoi/Alcoy;57161;0821-3;-0,473163128;38,69764173;Investigación;564;Investigación
03010000000;1030106;03;Alacant/Alicante;Alfafara;417;1977,7677;18603;03010000101;Alfafara;382;0820-2;-0,55552339;38,77274828;Mapa;580;MDT
03011000000;1030113;03;Alacant/Alicante;l'Alfàs del Pi;20668;1925,9507;20927;03011000102;l'Alfàs del Pi;5359;0848-3;-0,1026002;38,58009496;Mapa;89;MDT
03012000000;1030128;03;Alacant/Alicante;Algorfa;3513;1847,09;29362;03012000101;Algorfa;1693;0914-1;-0,79568423;38,08681637;Mapa;23;MDT
03013000000;1030134;03;Alacant/Alicante;Algueña;1351;1847,39;29521;03013000101;Algueña;1268;0870-4;-1,00303745;38,33800138;Mapa;530;MDT
03014000000;1030149;03;Alacant/Alicante;Alacant/Alicante;338577;20232,29;151886;03014000201;Alacant/Alicante;326198;0872-3;-0,4831832;38,34548705;Mapa;5;MDT
03015000000;1030152;03;Alacant/Alicante;Almoradí;21401;4269,4;53678;03015000101;Almoradí;19014;0914-1;-0,79201713;38,10977991;Mapa;10;MDT
03016000000;1030165;03;Alacant/Alicante;Almudaina;112;882,0194;12317;03016000101;Almudaina;107;0821-1;-0,35370678;38,76155764;Mapa;570;MDT
03017000000;1030171;03;Alacant/Alicante;l'Alqueria d'Asnar;489;108,3702;9555;03017000101;l'Alqueria d'Asnar;467;0821-1;-0,42552267;38,77311802;Mapa;363;MDT
03018000000;1030187;03;Alacant/Alicante;Altea;23010;3442,7986;30970;03018000102;Altea;14913;0848-1;-0,05144236;38,59892497;Mapa;60;MDT
03019000000;1030190;03;Alacant/Alicante;Aspe;21191;7057,09;38464;03019000101;Aspe;18816;0871-3;-0,76849107;38,34577266;Mapa;234;MDT
03020000000;1030204;03;Alacant/Alicante;Balones;126;1125;17176;03020000101;Balones;122;0821-4;-0,34237388;38,73701039;Mapa;670;MDT
03021000000;1030211;03;Alacant/Alicante;Banyeres de Mariola;7201;5027,5886;39273;03021000101;Banyeres de Mariola;6992;0820-4;-0,65685684;38,71635902;Mapa;812;MDT
03022000000;1030226;03;Alacant/Alicante;Benasau;171;904,039;16402;03022000202;Benasau;150;0821-4;-0,34261264;38,68991329;Mapa;705;MDT
03023000000;1030232;03;Alacant/Alicante;Beneixama;1705;3488,8204;26678;03023000101;Beneixama;1656;0820-3;-0,76676743;38,70018533;Mapa;592;MDT
03024000000;1030247;03;Alacant/Alicante;Benejúzar;5480;932,7958;15599;03024000101;Benejúzar;5480;0914-3;-0,83819517;38,07806375;Mapa;23;MDT
03025000000;1030250;03;Alacant/Alicante;Benferri;1955;1236,89;16679;03025000101;Benferri;1433;0913-2;-0,9622579;38,14179352;Mapa;56;MDT
03026000000;1030263;03;Alacant/Alicante;Beniarbeig;2267;740,3238;17593;03026000101;Beniarbeig;2160;0822-2;-0,00130364;38,82193219;Mapa;42;MDT
03027000000;1030279;03;Alacant/Alicante;Beniardà;218;1573,9453;21110;03027000101;Beniardà;171;0821-4;-0,21600764;38,68343356;Mapa;464;MDT
